"jurisdiction"	"value"	"race_ethnicity"	"year"	"measure"
"Carroll"	"0.5"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Cecil"	"0.3"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Charles"	"0.2"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Dorchester"	"0.4"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Frederick"	"0.3"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Garrett"	"0.4"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Harford"	"0.1"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Howard"	"0.0"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Kent"	"0.6"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Montgomery"	"0.1"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Prince George's"	"0.3"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Queen Anne's"	"0.7"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Saint Mary's"	"0.3"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Somerset"	"0.8"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Talbot"	"0.6"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Washington"	"0.3"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Wicomico"	"0.4"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
"Worcester"	"0.2"	"All races/ ethnicities (aggregated)"	"2009"	"Children with Elevated BLL"
