"jurisdiction"	"value"	"race_ethnicity"	"year"	"measure"
"Wicomico"	"5.74853"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Worcester"	"10.5696"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Prince George's"	"4.46218"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Queen Anne's"	"2.82885"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Saint Mary's"	"4.74325"	"Black or African American Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Prince George's"	"3.28302"	"Hispanic"	"2018"	"Child Maltreatment"
"Queen Anne's"	"3.73599"	"Hispanic"	"2018"	"Child Maltreatment"
"Saint Mary's"	"1.55521"	"Hispanic"	"2018"	"Child Maltreatment"
"State"	"3.03118"	"Hispanic"	"2018"	"Child Maltreatment"
"Allegany"		"Hispanic"	"2018"	"Child Maltreatment"
"Anne Arundel"	"2.79618"	"Hispanic"	"2018"	"Child Maltreatment"
"Baltimore City"	"3.62869"	"Hispanic"	"2018"	"Child Maltreatment"
"Baltimore County"	"2.37269"	"Hispanic"	"2018"	"Child Maltreatment"
"Calvert"	"1.65017"	"Hispanic"	"2018"	"Child Maltreatment"
"Caroline"	"4.60405"	"Hispanic"	"2018"	"Child Maltreatment"
"Carroll"	"3.67478"	"Hispanic"	"2018"	"Child Maltreatment"
"Cecil"	"4.62428"	"Hispanic"	"2018"	"Child Maltreatment"
"Charles"	"2.54237"	"Hispanic"	"2018"	"Child Maltreatment"
"Dorchester"		"Hispanic"	"2018"	"Child Maltreatment"
"Frederick"	"2.86659"	"Hispanic"	"2018"	"Child Maltreatment"
"Garrett"		"Hispanic"	"2018"	"Child Maltreatment"
"Harford"	"3.62319"	"Hispanic"	"2018"	"Child Maltreatment"
"Howard"	"2.03848"	"Hispanic"	"2018"	"Child Maltreatment"
"Kent"		"Hispanic"	"2018"	"Child Maltreatment"
"Montgomery"	"2.9258"	"Hispanic"	"2018"	"Child Maltreatment"
"Somerset"	"2.54453"	"Hispanic"	"2018"	"Child Maltreatment"
"Talbot"	"3.81679"	"Hispanic"	"2018"	"Child Maltreatment"
"Washington"	"5.35117"	"Hispanic"	"2018"	"Child Maltreatment"
"Wicomico"	"0.892459"	"Hispanic"	"2018"	"Child Maltreatment"
"Worcester"	"15.528"	"Hispanic"	"2018"	"Child Maltreatment"
"State"	"3.02"	"White"	"2018"	"Child Maltreatment"
"Allegany"	"10.86"	"White"	"2018"	"Child Maltreatment"
"Anne Arundel"	"2.02"	"White"	"2018"	"Child Maltreatment"
"Baltimore City"	"6.01"	"White"	"2018"	"Child Maltreatment"
"Baltimore County"	"3.68"	"White"	"2018"	"Child Maltreatment"
"Calvert"	"3.2"	"White"	"2018"	"Child Maltreatment"
"Caroline"	"4.16"	"White"	"2018"	"Child Maltreatment"
"Carroll"	"2.95"	"White"	"2018"	"Child Maltreatment"
"Cecil"	"7.63"	"White"	"2018"	"Child Maltreatment"
"Charles"	"2.18"	"White"	"2018"	"Child Maltreatment"
"Dorchester"	"4.92"	"White"	"2018"	"Child Maltreatment"
"Frederick"	"1.63"	"White"	"2018"	"Child Maltreatment"
"Garrett"	"17.08"	"White"	"2018"	"Child Maltreatment"
"Harford"	"4.66"	"White"	"2018"	"Child Maltreatment"
"Howard"	"0.99"	"White"	"2018"	"Child Maltreatment"
"Kent"	"4.26"	"White"	"2018"	"Child Maltreatment"
"Montgomery"	"1.16"	"White"	"2018"	"Child Maltreatment"
"Somerset"	"2.9"	"White"	"2018"	"Child Maltreatment"
"Talbot"	"3.4"	"White"	"2018"	"Child Maltreatment"
"Washington"	"5.41"	"White"	"2018"	"Child Maltreatment"
"Wicomico"	"3.39"	"White"	"2018"	"Child Maltreatment"
"Worcester"	"10.74"	"White"	"2018"	"Child Maltreatment"
"Prince George's"	"1.7"	"White"	"2018"	"Child Maltreatment"
"Queen Anne's"	"1.02"	"White"	"2018"	"Child Maltreatment"
"Saint Mary's"	"3.12"	"White"	"2018"	"Child Maltreatment"
"Montgomery"	"1.09951"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Somerset"	"3.29567"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Talbot"	"3.81422"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Washington"	"5.59335"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Wicomico"	"3.91202"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Worcester"	"10.5645"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"State"	"3.44981"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Allegany"	"11.1141"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Anne Arundel"	"2.21297"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Baltimore City"	"7.40541"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Baltimore County"	"4.09287"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Calvert"	"3.33657"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Caroline"	"4.44939"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Carroll"	"2.97139"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Cecil"	"7.97363"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Charles"	"2.2089"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Dorchester"	"5.70571"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Frederick"	"1.43623"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Garrett"	"17.4407"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Harford"	"4.77771"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Howard"	"0.882286"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Kent"	"4.63177"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Prince George's"	"2.20607"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Queen Anne's"	"1.10035"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Saint Mary's"	"3.37924"	"White Non-Hispanic/Latino"	"2018"	"Child Maltreatment"
"Prince George's"	"5.62802"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Queen Anne's"	"2.13715"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Saint Mary's"	"4.50484"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"State"	"5.79312"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Allegany"	"11.1065"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Anne Arundel"	"4.62313"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Baltimore City"	"10.7686"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Baltimore County"	"5.07597"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Calvert"	"4.88034"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Caroline"	"6.34921"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Carroll"	"3.35534"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Cecil"	"14.2387"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Charles"	"4.11724"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Dorchester"	"14.456"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Frederick"	"3.40057"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Garrett"	"24.9578"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Harford"	"9.91079"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Howard"	"2.28172"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Kent"	"9.33645"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Montgomery"	"3.96506"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Somerset"	"7.15605"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Talbot"	"5.02438"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Washington"	"7.90454"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Wicomico"	"6.86922"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"Worcester"	"13.1461"	"All races/ ethnicities (aggregated)"	"2019"	"Child Maltreatment"
"State"	"0.880224"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Allegany"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Anne Arundel"	"0.172622"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Baltimore City"	"1.66667"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Baltimore County"	"1.79114"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Calvert"	"3.15457"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Caroline"	"10.2041"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Carroll"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Prince George's"	"0.772201"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Queen Anne's"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Saint Mary's"	"1.28535"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Cecil"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Charles"	"1.35593"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Dorchester"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Frederick"	"1.07643"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Garrett"	"25.641"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Harford"	"2.33973"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Howard"	"0.465008"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Kent"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Montgomery"	"0.581801"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Somerset"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Talbot"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Washington"	"3.36323"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Wicomico"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Worcester"	"4.92611"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"State"	"6.97"	"Black or African American"	"2019"	"Child Maltreatment"
"Allegany"	"15.63"	"Black or African American"	"2019"	"Child Maltreatment"
"Anne Arundel"	"6.38"	"Black or African American"	"2019"	"Child Maltreatment"
"Baltimore City"	"11.25"	"Black or African American"	"2019"	"Child Maltreatment"
"Baltimore County"	"5.71"	"Black or African American"	"2019"	"Child Maltreatment"
"Calvert"	"7.2"	"Black or African American"	"2019"	"Child Maltreatment"
"Caroline"	"4.42"	"Black or African American"	"2019"	"Child Maltreatment"
"Carroll"	"8.39"	"Black or African American"	"2019"	"Child Maltreatment"
"Cecil"	"10.11"	"Black or African American"	"2019"	"Child Maltreatment"
"Charles"	"3.85"	"Black or African American"	"2019"	"Child Maltreatment"
"Dorchester"	"16.94"	"Black or African American"	"2019"	"Child Maltreatment"
"Frederick"	"5.66"	"Black or African American"	"2019"	"Child Maltreatment"
"Garrett"	"18.07"	"Black or African American"	"2019"	"Child Maltreatment"
"Harford"	"14.27"	"Black or African American"	"2019"	"Child Maltreatment"
"Howard"	"4.26"	"Black or African American"	"2019"	"Child Maltreatment"
"Kent"	"9.39"	"Black or African American"	"2019"	"Child Maltreatment"
"Montgomery"	"5.45"	"Black or African American"	"2019"	"Child Maltreatment"
"Somerset"	"8.79"	"Black or African American"	"2019"	"Child Maltreatment"
"Talbot"	"6.02"	"Black or African American"	"2019"	"Child Maltreatment"
"Washington"	"9.03"	"Black or African American"	"2019"	"Child Maltreatment"
"Wicomico"	"7.87"	"Black or African American"	"2019"	"Child Maltreatment"
"Worcester"	"10.44"	"Black or African American"	"2019"	"Child Maltreatment"
"Prince George's"	"5.39"	"Black or African American"	"2019"	"Child Maltreatment"
"Queen Anne's"	"6.73"	"Black or African American"	"2019"	"Child Maltreatment"
"Saint Mary's"	"7.58"	"Black or African American"	"2019"	"Child Maltreatment"
"Prince George's"	"5.81135"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Queen Anne's"	"7.26744"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"State"	"7.3538"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Allegany"	"16.3934"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Anne Arundel"	"6.68682"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Baltimore City"	"11.4773"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Baltimore County"	"5.93114"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Calvert"	"7.61509"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Caroline"	"4.74684"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Carroll"	"8.42359"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Cecil"	"11.2918"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Charles"	"4.00019"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Dorchester"	"18.1245"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Frederick"	"6.19355"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Garrett"	"18.1818"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Harford"	"15.0136"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Howard"	"4.50233"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Kent"	"9.85222"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Montgomery"	"5.92294"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Somerset"	"9.16905"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Talbot"	"6.62252"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Washington"	"9.34579"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Wicomico"	"8.08328"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Worcester"	"10.8434"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Saint Mary's"	"7.93319"	"Black or African American Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"State"	"3.45022"	"Hispanic"	"2019"	"Child Maltreatment"
"Allegany"		"Hispanic"	"2019"	"Child Maltreatment"
"Anne Arundel"	"2.95707"	"Hispanic"	"2019"	"Child Maltreatment"
"Baltimore City"	"5.53521"	"Hispanic"	"2019"	"Child Maltreatment"
"Baltimore County"	"2.81357"	"Hispanic"	"2019"	"Child Maltreatment"
"Calvert"	"2.2338"	"Hispanic"	"2019"	"Child Maltreatment"
"Caroline"	"4.31406"	"Hispanic"	"2019"	"Child Maltreatment"
"Carroll"	"3.15457"	"Hispanic"	"2019"	"Child Maltreatment"
"Cecil"	"3.40909"	"Hispanic"	"2019"	"Child Maltreatment"
"Charles"	"2.13561"	"Hispanic"	"2019"	"Child Maltreatment"
"Dorchester"	"2.69179"	"Hispanic"	"2019"	"Child Maltreatment"
"Frederick"	"2.20588"	"Hispanic"	"2019"	"Child Maltreatment"
"Garrett"		"Hispanic"	"2019"	"Child Maltreatment"
"Harford"	"4.09207"	"Hispanic"	"2019"	"Child Maltreatment"
"Howard"	"2.3199"	"Hispanic"	"2019"	"Child Maltreatment"
"Kent"		"Hispanic"	"2019"	"Child Maltreatment"
"Montgomery"	"3.904"	"Hispanic"	"2019"	"Child Maltreatment"
"Somerset"	"2.28311"	"Hispanic"	"2019"	"Child Maltreatment"
"Talbot"	"3.53045"	"Hispanic"	"2019"	"Child Maltreatment"
"Prince George's"	"3.23097"	"Hispanic"	"2019"	"Child Maltreatment"
"Queen Anne's"	"1.18203"	"Hispanic"	"2019"	"Child Maltreatment"
"Saint Mary's"	"1.49626"	"Hispanic"	"2019"	"Child Maltreatment"
"Washington"	"3.79387"	"Hispanic"	"2019"	"Child Maltreatment"
"Wicomico"	"6.57318"	"Hispanic"	"2019"	"Child Maltreatment"
"Worcester"	"9.49367"	"Hispanic"	"2019"	"Child Maltreatment"
"Prince George's"	"2.04"	"White"	"2019"	"Child Maltreatment"
"Queen Anne's"	"1.23"	"White"	"2019"	"Child Maltreatment"
"Saint Mary's"	"2.8"	"White"	"2019"	"Child Maltreatment"
"State"	"3.39"	"White"	"2019"	"Child Maltreatment"
"Allegany"	"9.66"	"White"	"2019"	"Child Maltreatment"
"Anne Arundel"	"2.89"	"White"	"2019"	"Child Maltreatment"
"Baltimore City"	"5.22"	"White"	"2019"	"Child Maltreatment"
"Baltimore County"	"3.35"	"White"	"2019"	"Child Maltreatment"
"Calvert"	"3.55"	"White"	"2019"	"Child Maltreatment"
"Caroline"	"4.64"	"White"	"2019"	"Child Maltreatment"
"Carroll"	"2.64"	"White"	"2019"	"Child Maltreatment"
"Cecil"	"9.14"	"White"	"2019"	"Child Maltreatment"
"Charles"	"3.26"	"White"	"2019"	"Child Maltreatment"
"Dorchester"	"8.63"	"White"	"2019"	"Child Maltreatment"
"Frederick"	"2.2"	"White"	"2019"	"Child Maltreatment"
"Garrett"	"23.87"	"White"	"2019"	"Child Maltreatment"
"Harford"	"6.94"	"White"	"2019"	"Child Maltreatment"
"Howard"	"1.29"	"White"	"2019"	"Child Maltreatment"
"Kent"	"6.53"	"White"	"2019"	"Child Maltreatment"
"Montgomery"	"1.44"	"White"	"2019"	"Child Maltreatment"
"Somerset"	"5.81"	"White"	"2019"	"Child Maltreatment"
"Talbot"	"3.55"	"White"	"2019"	"Child Maltreatment"
"Washington"	"4.44"	"White"	"2019"	"Child Maltreatment"
"Wicomico"	"3.61"	"White"	"2019"	"Child Maltreatment"
"Worcester"	"10.53"	"White"	"2019"	"Child Maltreatment"
"State"	"3.85517"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Allegany"	"9.88377"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Anne Arundel"	"3.13703"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Baltimore City"	"6.17877"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Baltimore County"	"3.64027"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Calvert"	"3.72929"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Caroline"	"5.06377"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Carroll"	"2.71202"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Cecil"	"9.56732"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Charles"	"3.39504"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Dorchester"	"9.6823"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Frederick"	"2.29169"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Garrett"	"24.3854"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Harford"	"7.16837"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Howard"	"1.03899"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Kent"	"7.12589"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Montgomery"	"1.23247"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Somerset"	"6.26506"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Talbot"	"4.06137"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Washington"	"4.7611"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Wicomico"	"3.91713"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Worcester"	"10.6583"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Prince George's"	"3.255"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Queen Anne's"	"1.33141"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Saint Mary's"	"2.88585"	"White Non-Hispanic/Latino"	"2019"	"Child Maltreatment"
"Prince George's"	"4.56501"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Queen Anne's"	"1.95131"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Saint Mary's"	"3.02784"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"State"	"4.54564"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Allegany"	"8.39161"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Anne Arundel"	"3.14156"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Baltimore City"	"9.91646"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Baltimore County"	"4.32687"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Calvert"	"3.28484"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Caroline"	"6.22222"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Carroll"	"2.44774"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Cecil"	"7.70363"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Charles"	"2.23875"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Dorchester"	"8.79285"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Frederick"	"3.31722"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Garrett"	"11.6345"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Harford"	"7.5435"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Howard"	"1.78734"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Kent"	"4.33478"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Montgomery"	"2.66538"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Somerset"	"6.69437"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Talbot"	"5.46771"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Washington"	"6.53116"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Wicomico"	"6.51695"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Worcester"	"13.4831"	"All races/ ethnicities (aggregated)"	"2020"	"Child Maltreatment"
"Prince George's"	"0.15444"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Queen Anne's"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Saint Mary's"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"State"	"0.412945"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Allegany"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Anne Arundel"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Baltimore City"	"0.416667"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Baltimore County"	"0.623004"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Calvert"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Caroline"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Carroll"	"0.938967"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Cecil"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Charles"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Dorchester"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Frederick"	"0.80732"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Garrett"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Harford"	"1.40384"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Howard"	"0.174378"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Kent"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Montgomery"	"0.465441"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Somerset"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Talbot"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Washington"	"1.12108"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Wicomico"		"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"Worcester"	"4.92611"	"Asian/Pacific Islander Non-Hispanic/Latino"	"2020"	"Child Maltreatment"
"State"	"4.97"	"Black or African American"	"2020"	"Child Maltreatment"
"Allegany"	"18.23"	"Black or African American"	"2020"	"Child Maltreatment"
"Anne Arundel"	"2.89"	"Black or African American"	"2020"	"Child Maltreatment"
"Baltimore City"	"9.61"	"Black or African American"	"2020"	"Child Maltreatment"
"Baltimore County"	"4.68"	"Black or African American"	"2020"	"Child Maltreatment"
"Calvert"	"6.87"	"Black or African American"	"2020"	"Child Maltreatment"
"Caroline"	"6.62"	"Black or African American"	"2020"	"Child Maltreatment"
"Carroll"	"1.68"	"Black or African American"	"2020"	"Child Maltreatment"
"Cecil"	"6.47"	"Black or African American"	"2020"	"Child Maltreatment"
"Charles"	"1.24"	"Black or African American"	"2020"	"Child Maltreatment"
"Dorchester"	"11.79"	"Black or African American"	"2020"	"Child Maltreatment"
"Frederick"	"4.04"	"Black or African American"	"2020"	"Child Maltreatment"
"Garrett"		"Black or African American"	"2020"	"Child Maltreatment"
"Harford"	"10.64"	"Black or African American"	"2020"	"Child Maltreatment"
"Howard"	"2.69"	"Black or African American"	"2020"	"Child Maltreatment"
"Kent"		"Black or African American"	"2020"	"Child Maltreatment"
