batch_id,batch_date,location,location_code,gross_charges_usd,refunds_usd,adjustments_usd,processor_fees_usd,interchange_pct,batch_status,notes
SP-0260,2026-09-25,Schaefer Quick Stop,SF,11295.14,27.34,10.56,278.99,2.579,Settled,
SP-0261,2026-09-25,Warren Road Express,WR,12509.31,36.39,-5.42,308.98,2.409,Settled,
SP-0262,2026-09-26,Greenfield Fuel & Market,GF,20215.79,109.84,15.95,499.33,2.405,Settled,
SP-0263,2026-09-26,Schaefer Quick Stop,SF,10794.74,36.39,6.58,266.63,2.610,Settled,
SP-0264,2026-09-26,Warren Road Express,WR,12914.17,61.04,-2.81,318.98,2.540,Settled,
SP-0265,2026-09-27,Greenfield Fuel & Market,GF,20842.11,145.03,-36.62,514.80,2.432,Settled,
SP-0266,2026-09-27,Schaefer Quick Stop,SF,11383.00,37.91,-15.05,281.16,2.574,Settled,
SP-0267,2026-09-27,Warren Road Express,WR,11656.28,38.32,12.12,287.91,2.569,Settled,
SP-0268,2026-09-28,Greenfield Fuel & Market,GF,22099.19,34.18,39.54,545.85,2.592,Settled,
SP-0269,2026-09-28,Schaefer Quick Stop,SF,11523.08,14.39,-21.56,284.62,2.600,Settled,
SP-0270,2026-09-28,Warren Road Express,WR,10398.79,32.47,16.03,256.85,2.612,Settled,
SP-0271,2026-09-29,Greenfield Fuel & Market,GF,16690.28,64.71,18.19,412.25,2.431,Settled,
SP-0272,2026-09-29,Schaefer Quick Stop,SF,9176.52,66.24,15.59,226.66,2.441,Settled,
SP-0273,2026-09-29,Warren Road Express,WR,12997.57,34.84,-21.58,321.04,2.490,Settled,
SP-0274,2026-09-30,Greenfield Fuel & Market,GF,20659.92,61.46,-36.90,510.30,2.371,Settled,
SP-0275,2026-09-30,Schaefer Quick Stop,SF,11442.91,39.72,-9.78,282.64,2.605,Settled,
SP-0276,2026-09-30,Warren Road Express,WR,13244.94,25.64,15.92,327.15,2.520,Settled,
SP-0277,2026-07,Greenfield Fuel & Market,GF,-,-,-,14883.25,-,Month Rollup,
SP-0278,2026-08,Greenfield Fuel & Market,GF,-,-,-,14926.81,-,Month Rollup,
SP-0279,2026-09,Greenfield Fuel & Market,GF,-,-,-,14601.94,-,Month Rollup,
SP-0280,2026-07,Schaefer Quick Stop,SF,-,-,-,7856.83,-,Month Rollup,
SP-0281,2026-08,Schaefer Quick Stop,SF,-,-,-,7867.00,-,Month Rollup,
SP-0282,2026-09,Schaefer Quick Stop,SF,-,-,-,7722.17,-,Month Rollup,
SP-0283,2026-07,Warren Road Express,WR,-,-,-,8768.51,-,Month Rollup,
SP-0284,2026-08,Warren Road Express,WR,-,-,-,9337.27,-,Month Rollup,
SP-0285,2026-09,Warren Road Express,WR,-,-,-,9036.22,-,Month Rollup,
SP-0286,2026-Q3,Greenfield Fuel & Market,GF,-,-,-,44412.00,-,Q3 Store Total,
SP-0287,2026-Q3,Schaefer Quick Stop,SF,-,-,-,23446.00,-,Q3 Store Total,
SP-0288,2026-Q3,Warren Road Express,WR,-,-,-,27142.00,-,Q3 Store Total,
Q3_TOTAL,2026-Q3,ALL STORES,ALL,-,-,-,95000.00,-,Q3 Grand Total,Q3 processor fees per Stripe daily settlements
