record_id,period_start,period_end,location,location_code,gross_sales_usd,transaction_count,avg_ticket_usd,fuel_gallons,convenience_pct,notes
SQ-0264,2026-09-26,2026-09-26,Warren Road Express,WR,15647,886,17.66,1445,0.471,
SQ-0265,2026-09-27,2026-09-27,Greenfield Fuel & Market,GF,23692,1437,16.49,1688,0.546,
SQ-0266,2026-09-27,2026-09-27,Schaefer Quick Stop,SF,11436,619,18.47,1046,0.425,
SQ-0267,2026-09-27,2026-09-27,Warren Road Express,WR,13204,803,16.44,1501,0.548,
SQ-0268,2026-09-28,2026-09-28,Greenfield Fuel & Market,GF,17396,1035,16.81,1429,0.524,
SQ-0269,2026-09-28,2026-09-28,Schaefer Quick Stop,SF,8428,518,16.27,786,0.561,
SQ-0270,2026-09-28,2026-09-28,Warren Road Express,WR,11323,631,17.94,1163,0.456,
SQ-0271,2026-09-29,2026-09-29,Greenfield Fuel & Market,GF,18755,1075,17.45,1351,0.484,
SQ-0272,2026-09-29,2026-09-29,Schaefer Quick Stop,SF,10021,543,18.45,726,0.426,
SQ-0273,2026-09-29,2026-09-29,Warren Road Express,WR,10962,673,16.29,1033,0.561,
SQ-0274,2026-09-30,2026-09-30,Greenfield Fuel & Market,GF,16387,970,16.89,1464,0.519,
SQ-0275,2026-09-30,2026-09-30,Schaefer Quick Stop,SF,10231,561,18.24,839,0.438,
SQ-0276,2026-09-30,2026-09-30,Warren Road Express,WR,9983,573,17.42,1208,0.485,
SQ-0278,2026-07-01,2026-09-30,Greenfield Fuel & Market,GF,1800000,-,-,139635,-,Q3 GF total
SQ-0280,2026-07-01,2026-09-30,Schaefer Quick Stop,SF,950000,-,-,82915,-,Q3 SF total
SQ-0282,2026-07-01,2026-09-30,Warren Road Express,WR,1100000,-,-,109915,-,Q3 WR total
Q3_TOTAL,2026-07-01,2026-09-30,ALL STORES,ALL,3850000,-,-,332465,-,Q3 gross authoritative per Square daily feed
