quote_id,quote_week,vendor_code,vendor_name,origin,grade,price_per_gal_usd,delivery_terms,min_load_gallons,payment_terms,stockout_flag,q_score,notes
DS-02,2026-Q1-eval,DS-eval-02,Detroit Supply Co.,Detroit MI,mid_89,3.305,120+ mi transit,-,-,-,-,Q1 2026 evaluated - too far for corridor
DS-03,2026-Q1-eval,DS-eval-03,Detroit Supply Co.,Detroit MI,premium_93,3.492,120+ mi transit,-,-,-,-,Q1 2026 evaluated - too far for corridor
F-Q3-LK-reg,2026-Q3,LK-01,Lakeside Fuel,-,regular_87,3.185,-,-,-,-,-,Q3 avg per grade
F-Q3-LK-mid,2026-Q3,LK-01,Lakeside Fuel,-,mid_89,3.325,-,-,-,-,-,Q3 avg per grade
F-Q3-LK-pre,2026-Q3,LK-01,Lakeside Fuel,-,premium_93,3.510,-,-,-,-,-,Q3 avg per grade
F-Q3-LK-die,2026-Q3,LK-01,Lakeside Fuel,-,diesel,3.845,-,-,-,-,-,Q3 avg per grade
F-Q3-LK-eth,2026-Q3,LK-01,Lakeside Fuel,-,ethanol_e85,2.945,-,-,-,-,-,Q3 avg per grade
F-Q3-MP-reg,2026-Q3,MP-01,Michigan Petroleum,-,regular_87,3.242,-,-,-,-,-,Q3 avg per grade
F-Q3-MP-mid,2026-Q3,MP-01,Michigan Petroleum,-,mid_89,3.385,-,-,-,-,-,Q3 avg per grade
F-Q3-MP-pre,2026-Q3,MP-01,Michigan Petroleum,-,premium_93,3.588,-,-,-,-,-,Q3 avg per grade
F-Q3-MP-die,2026-Q3,MP-01,Michigan Petroleum,-,diesel,3.912,-,-,-,-,-,Q3 avg per grade
F-Q3-MP-eth,2026-Q3,MP-01,Michigan Petroleum,-,ethanol_e85,3.028,-,-,-,-,-,Q3 avg per grade
F-Q3-GL-reg,2026-Q3,GL-01,Great Lakes Distribution,-,regular_87,3.288,-,-,-,-,-,Q3 avg per grade
F-Q3-GL-mid,2026-Q3,GL-01,Great Lakes Distribution,-,mid_89,3.442,-,-,-,-,-,Q3 avg per grade
F-Q3-GL-pre,2026-Q3,GL-01,Great Lakes Distribution,-,premium_93,3.665,-,-,-,-,-,Q3 avg per grade
F-Q3-GL-die,2026-Q3,GL-01,Great Lakes Distribution,-,diesel,3.985,-,-,-,-,-,Q3 avg per grade
F-Q3-GL-eth,2026-Q3,GL-01,Great Lakes Distribution,-,ethanol_e85,3.098,-,-,-,-,-,Q3 avg per grade
