id,name,domain,industry,city,state,numberofemployees,annualrevenue,createdate
5512004229,Blackwood Cattle Co,,Cattle Ranching,Redmond,OR,9,1250000,2022-12-11T16:00:00.000Z
5512004230,Mercer Family Ranch,mercerranch.example,Cattle Ranching,Bend,OR,6,380000,2020-06-02T16:00:00.000Z
5512004231,Delta Bar Ranch,deltabarranch.example,Cattle Ranching,Prineville,OR,10,910000,2023-12-06T16:00:00.000Z
5512004232,Holbrook Ranch,holbrookranch.example,Cattle Ranching,Terrebonne,OR,6,470000,2021-05-16T16:00:00.000Z
5512004233,Sanders Livestock,sanderslivestock.example,Cattle Ranching,Madras,OR,8,680000,2021-05-03T15:00:00.000Z
5512004234,Prieto Heifers LLC,,Cattle Ranching,Culver,OR,4,290000,2020-09-13T17:00:00.000Z
5512004235,Vogel Cattle,vogelcattle.example,Cattle Ranching,Powell Butte,OR,7,540000,2021-01-22T15:00:00.000Z
5512004236,Ortega Ranch,ortegaranch.example,Cattle Ranching,Tumalo,OR,6,420000,2020-01-03T17:00:00.000Z
5512004237,Nichols Dairy,,Dairy Farming,Redmond,OR,14,2100000,2024-02-26T16:00:00.000Z
5512004238,Blain Bros Cattle Co,blainbros.example,Cattle Ranching,Sisters,OR,8,710000,2022-06-18T16:00:00.000Z
5512004239,Crooked River Cattle,,Cattle Ranching,Prineville,OR,9,830000,2021-12-28T16:00:00.000Z
5512004240,High Lonesome Ranch,,Cattle Ranching,Brothers,OR,12,1040000,2022-11-17T15:00:00.000Z
5512004241,Juniper Hollow Ranch,juniperhollow.example,Cattle Ranching,Tumalo,OR,5,360000,2024-03-28T16:00:00.000Z
5512004242,Tetherow Cattle Co,,Cattle Ranching,Bend,OR,7,520000,2023-05-25T16:00:00.000Z
5512004243,Sage Flat Livestock,sageflatlivestock.example,Cattle Ranching,Madras,OR,9,690000,2022-01-05T18:00:00.000Z
5512004244,Big Falls Ranch,,Cattle Ranching,Culver,OR,11,1190000,2023-12-31T15:00:00.000Z
