date_finished	title	author	original_language	read_in_language	format	pages	personal_rating	category	currently_recommending	notes
2024-07-19	Four Quartets	T.S. Eliot	English	English	Paperback	57	5	Poetry	Y	Read many times
2024-08-07	A Farewell to Arms	Ernest Hemingway	English	English	Paperback	332	4	Literary Fiction	Sometimes	
2024-08-13	Never Let Me Go	Kazuo Ishiguro	English	English	Paperback	288	5	Literary Fiction	Y	
2024-08-14	The Remains of the Day	Kazuo Ishiguro	English	English	Paperback	245	5	Literary Fiction	Sometimes	Classic. Reread after Klara.
2024-08-21	Pachinko reread	Min Jin Lee	English	English	Paperback	485	5	International	Y	Second read - still extraordinary
2024-08-28	The Road	Cormac McCarthy	English	English	Paperback	287	5	Literary Fiction	Sometimes	Devastating. Not for everyone.
2024-08-30	Pride and Prejudice	Jane Austen	English	English	Paperback	432	4	Literary Fiction	Sometimes	Reread. Funnier than I remembered.
2024-09-04	To Kill a Mockingbird	Harper Lee	English	English	Paperback	309	5	Literary Fiction	Y	
2024-09-12	Kafka on the Shore	Haruki Murakami	Japanese	English	Paperback	505	4	International	Sometimes	Long but worth it
2024-09-21	Bewilderment	Richard Powers	English	English	Hardback	278	4	Literary Fiction	Sometimes	
2024-09-26	Half of a Yellow Sun	Chimamanda Ngozi Adichie	English	English	Paperback	433	5	Literary Fiction	Y	
2024-09-27	Breakfast at Tiffany's	Truman Capote	English	English	Paperback	179	4	Literary Fiction	Sometimes	
2024-10-11	Suttree	Cormac McCarthy	English	English	Paperback	471	4	Literary Fiction	Sometimes	Underrated McCarthy
2024-10-24	The Unconsoled	Kazuo Ishiguro	English	English	Paperback	535	3	Literary Fiction	N	Frustrating intentionally
2024-10-30	Wide Sargasso Sea	Jean Rhys	English	English	Paperback	190	4	Literary Fiction	Sometimes	
2024-10-30	The Great Gatsby	F. Scott Fitzgerald	English	English	Paperback	180	4	Literary Fiction	Sometimes	Reread. Still great.
2024-10-31	Emma	Jane Austen	English	English	Paperback	474	4	Literary Fiction	Sometimes	
2024-10-31	Growth of the Soil	Knut Hamsun	Norwegian	English	Paperback	390	3	International	N	Slow
2024-11-08	Rules of Civility	Amor Towles	English	English	Paperback	335	4	Literary Fiction	Sometimes	
2024-11-15	Gösta Berlings saga	Selma Lagerlof	Swedish	Swedish	Hardback	456	4	Literary Fiction	Sometimes	Classic Swedish - tough going
2024-12-03	Alfons och hans vänner	Gunilla Bergström	Swedish	Swedish	Paperback	128	4	Children	Y	Lovely for smaller children
2024-12-18	After Dark	Haruki Murakami	Japanese	English	Paperback	191	3	International	N	Minor Murakami
2025-01-02	In the Distance	Hernan Diaz	English	English	Paperback	248	4	Literary Fiction	Sometimes	
2025-01-09	The Old Man and the Sea	Ernest Hemingway	English	English	Paperback	132	4	Literary Fiction	Y	Short and perfect
2025-01-10	Wuthering Heights	Emily Bronte	English	English	Paperback	342	4	Literary Fiction	Sometimes	Weirdly structured but powerful
2025-01-11	Breakfast of Champions	Kurt Vonnegut	English	English	Paperback	303	3	Literary Fiction	N	
2025-01-11	Independent People	Halldor Laxness	Icelandic	English	Paperback	470	5	International	Y	Should be read more widely
2025-01-18	Uppsala 1000 ar	Multiple	Swedish	Swedish	Hardback	312	4	Non-fiction	Y	Good for the local shelf
2025-01-22	Nattetid	Aase Berg	Swedish	Swedish	Paperback	88	4	Poetry	Sometimes	Challenging
2025-02-04	Det vilda torget	Tomas Transtromer	Swedish	Swedish	Paperback	95	5	Poetry	Y	Second reading. Even better.
2025-02-08	Lament for Ignacio Sanchez Mejias	Federico Garcia Lorca	Spanish	English	Paperback	48	5	Poetry	Y	Short and perfect
2025-02-14	To the Lighthouse	Virginia Woolf	English	English	Paperback	209	5	Literary Fiction	Y	
2025-02-21	Go Tell It on the Mountain	James Baldwin	English	English	Paperback	272	5	Literary Fiction	Y	
2025-03-04	Drift	Caroline Bergvall	English	English	Paperback	152	4	Poetry	Sometimes	
2025-03-13	Slaughterhouse-Five	Kurt Vonnegut	English	English	Paperback	215	5	Literary Fiction	Y	
2025-03-14	Cat's Cradle	Kurt Vonnegut	English	English	Paperback	179	4	Literary Fiction	Sometimes	
2025-03-18	A Little Life	Hanya Yanagihara	English	English	Paperback	720	5	Literary Fiction	Sometimes	Extraordinary. Very heavy. Not for everyone.
2025-03-19	Aniara	Harry Martinson	Swedish	Swedish	Paperback	163	5	Poetry	Y	Extraordinary epic
2025-03-28	Quiet	Susan Cain	English	English	Paperback	352	4	Non-fiction	Sometimes	Read as a self-study
2025-04-10	Steppenwolf	Hermann Hesse	German	German	Paperback	217	4	Literary Fiction	Sometimes	Read in German for practice
2025-05-17	Kindred	Octavia Butler	English	English	Paperback	287	5	Literary Fiction	Y	
2025-05-29	The Artist's Way	Julia Cameron	English	English	Paperback	222	3	Non-fiction	N	Not for me but customers love it
2025-06-03	The Buried Giant	Kazuo Ishiguro	English	English	Paperback	317	4	Literary Fiction	Sometimes	
2025-06-14	The Creative Habit	Twyla Tharp	English	English	Paperback	243	4	Non-fiction	Sometimes	
2025-06-17	Portnoy's Complaint	Philip Roth	English	English	Paperback	274	3	Literary Fiction	N	
2025-06-26	Men Explain Things to Me	Rebecca Solnit	English	English	Paperback	130	4	Non-fiction	Sometimes	Short but essential
2025-06-27	The Year of Magical Thinking	Joan Didion	English	English	Paperback	227	5	Non-fiction	Sometimes	Devastating. Could not put it down.
2025-07-05	The Dispossessed	Ursula Le Guin	English	English	Paperback	387	5	Literary Fiction	Y	
2025-07-10	The Luminaries	Eleanor Catton	English	English	Hardback	832	4	Literary Fiction	N	Impressive but too long
2025-07-15	Blood Meridian	Cormac McCarthy	English	English	Paperback	337	4	Literary Fiction	N	Brilliant but brutal beyond my usual limits
2025-07-17	Tingens ordning	Johanna Frid	Swedish	Swedish	Paperback	312	4	Literary Fiction	Y	Good debut
2025-07-17	Entangled Life	Merlin Sheldrake	English	English	Hardback	340	5	Non-fiction	Y	Mind-expanding
2025-07-18	On the Road	Jack Kerouac	English	English	Paperback	307	3	Literary Fiction	N	Dated and irritating now
2025-07-25	Caste	Isabel Wilkerson	English	English	Paperback	496	5	Non-fiction	Y	
2025-07-30	Human Acts	Han Kang	Korean	English	Paperback	216	5	International	Y	Harder than The Vegetarian. Necessary.
2025-08-12	4 3 2 1	Paul Auster	English	English	Paperback	866	3	Literary Fiction	N	Too long. Good idea though.
2025-08-22	Sea of Tranquility	Emily St. John Mandel	English	English	Hardback	258	4	Literary Fiction	Sometimes	
2025-09-02	Austerlitz	W.G. Sebald	German	English	Paperback	298	5	Literary Fiction	Y	
2025-09-05	Jonathan Strange and Mr Norrell	Susanna Clarke	English	English	Hardback	1006	4	Literary Fiction	N	Very long but brilliant if you commit
2025-09-12	The Master and Margarita	Bulgakov	Russian	English	Paperback	412	5	International	Y	
2025-09-25	Light That Gets Lost	Lars Gustafsson	Swedish	Swedish	Paperback	198	4	Poetry	Sometimes	
2025-09-26	The Iliad (trans. Emily Wilson)	Homer	Ancient Greek	English	Hardback	683	5	International	Y	Wilson's translation is extraordinary
2025-09-27	The Waves	Virginia Woolf	English	English	Paperback	229	5	Literary Fiction	Sometimes	Challenging even on second read
2025-10-04	Of Mice and Men	John Steinbeck	English	English	Paperback	112	5	Literary Fiction	Y	Reread. Perfect structure.
2025-10-04	Thinking Fast and Slow	Daniel Kahneman	English	English	Hardback	499	4	Non-fiction	Sometimes	Long but important for how I think
2025-10-07	New and Selected Poems	Mary Oliver	English	English	Paperback	224	4	Poetry	Y	
2025-10-10	At the Existentialist Cafe	Sarah Bakewell	English	English	Paperback	440	4	Non-fiction	Y	
2025-10-18	The Song of Achilles	Madeline Miller	English	English	Paperback	378	4	Literary Fiction	Sometimes	
2025-10-22	Hard-Boiled Wonderland and the End of the World	Haruki Murakami	Japanese	English	Paperback	400	5	International	Y	Favourite Murakami
2025-11-12	When Breath Becomes Air	Paul Kalanithi	English	English	Paperback	228	5	Non-fiction	Y	Wept.
2025-12-18	Out Stealing Horses	Per Petterson	Norwegian	English	Paperback	238	5	International	Y	Perfect length
2026-01-03	Something Happened	Joseph Heller	English	English	Paperback	569	2	Literary Fiction	N	Deeply tedious
2026-01-13	The Poisonwood Bible	Barbara Kingsolver	English	English	Paperback	543	5	Literary Fiction	Y	Classic. Should have read earlier.
2026-01-23	Devotions	Mary Oliver	English	English	Hardback	458	4	Poetry	Y	Good bedside reading
2026-02-03	Jerusalem del 1	Selma Lagerlof	Swedish	Swedish	Paperback	284	3	Literary Fiction	N	
2026-02-14	We Need to Talk About Kevin	Lionel Shriver	English	English	Paperback	400	4	Literary Fiction	Sometimes	Unsettling
2026-02-24	Between the World and Me	Ta-Nehisi Coates	English	English	Paperback	152	5	Non-fiction	Y	
2026-02-25	Hunger	Roxane Gay	English	English	Paperback	306	5	Non-fiction	Y	
