Track	Artist	Album	Genre	Duration	Play Date	Play Time (ET)
Kaki King	Cargo Cult	Glow	Fingerstyle / Acoustic	3:48	2024-03-03	20:18
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-03-04	20:06
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-03-04	20:09
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-03-04	20:19
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-03-04	20:33
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-03-04	20:42
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-03-05	20:30
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-03-05	20:34
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-03-05	20:44
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-03-05	20:57
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-03-05	21:01
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-03-05	21:12
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-03-05	21:15
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-03-05	21:29
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-03-06	20:07
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-03-06	20:10
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-03-06	20:24
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-03-07	20:14
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-03-07	20:17
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-03-07	20:33
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-03-08	20:23
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-03-08	20:34
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-03-08	20:39
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-03-08	20:54
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-03-09	20:02
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-03-09	20:07
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-03-09	20:13
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-03-09	20:16
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-03-09	20:20
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-03-09	20:35
Tommy Emmanuel	Mombasa	Endless Road	Fingerstyle / Acoustic	4:44	2024-03-10	20:19
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-03-10	20:28
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-03-10	20:42
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-03-10	20:48
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-03-10	20:51
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-03-10	21:00
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-03-10	21:14
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-03-11	20:10
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-03-11	20:20
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-03-11	20:25
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-03-11	20:37
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-03-11	20:52
Tommy Emmanuel	Mombasa	Endless Road	Fingerstyle / Acoustic	4:44	2024-03-11	21:06
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-03-11	21:17
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-03-11	21:28
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-03-12	20:13
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-03-12	20:28
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-03-12	20:35
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-03-12	20:50
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-03-12	20:54
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-03-12	21:04
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-03-13	20:25
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-03-13	20:32
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-03-13	20:46
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-03-13	20:52
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-03-13	20:59
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-03-13	21:14
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-03-13	21:27
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-03-14	20:10
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-03-14	20:20
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-03-14	20:34
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-03-14	20:41
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-03-14	20:46
Tommy Emmanuel	Mombasa	Endless Road	Fingerstyle / Acoustic	4:44	2024-03-15	20:00
Tommy Emmanuel	Mombasa	Endless Road	Fingerstyle / Acoustic	4:44	2024-03-15	20:16
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-03-15	20:20
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-03-15	20:24
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-03-15	20:38
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-03-16	20:14
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-03-16	20:28
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-03-16	20:38
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-03-16	20:52
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-03-16	21:04
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-03-16	21:15
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-03-17	20:24
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-03-17	20:40
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-03-17	20:52
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-03-17	21:00
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-03-17	21:04
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-03-18	20:12
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-03-18	20:19
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-03-19	20:25
Kaki King	Cargo Cult	Glow	Fingerstyle / Acoustic	3:48	2024-03-19	20:41
Kaki King	Cargo Cult	Glow	Fingerstyle / Acoustic	3:48	2024-03-19	20:51
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-03-19	20:55
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-03-19	21:06
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-03-19	21:13
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-03-19	21:17
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-03-20	20:15
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-03-20	20:28
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-03-20	20:37
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-03-21	20:19
Andy McKee	Art of Motion	Art of Motion	Fingerstyle / Acoustic	5:29	2024-03-21	20:25
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-03-21	20:37
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-03-21	20:40
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-03-21	20:50
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-03-22	20:16
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-03-22	20:19
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-03-22	20:33
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-03-23	20:04
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-03-23	20:07
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-03-23	20:12
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-03-23	20:27
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-03-23	20:42
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-03-24	20:27
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-03-24	20:37
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-03-24	20:40
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-03-24	20:48
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-03-25	20:07
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-03-25	20:15
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-03-25	20:31
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-03-26	20:00
Kaki King	Cargo Cult	Glow	Fingerstyle / Acoustic	3:48	2024-03-26	20:14
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-03-26	20:29
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-03-26	20:33
Andy McKee	For My Father	Joyland	Fingerstyle / Acoustic	3:57	2024-03-27	20:07
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-03-27	20:11
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-03-27	20:27
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-03-27	20:37
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-03-27	20:45
Tommy Emmanuel	Mombasa	Endless Road	Fingerstyle / Acoustic	4:44	2024-03-27	20:52
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-03-27	21:06
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-03-28	20:07
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-03-28	20:11
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-03-28	20:17
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-03-28	20:21
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-03-28	20:25
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-03-28	20:31
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-03-28	20:44
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-03-29	20:12
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-03-29	20:18
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-03-29	20:29
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-03-29	20:33
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-03-30	20:30
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-03-30	20:40
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-03-30	20:49
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-03-30	20:53
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-03-31	20:16
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-03-31	20:23
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-03-31	20:38
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-03-31	20:48
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-03-31	20:52
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-04-01	20:02
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-04-01	20:15
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-04-01	20:28
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-04-01	20:36
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-04-01	20:48
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-04-01	21:02
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-04-01	21:11
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-04-01	21:15
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-04-02	20:26
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-04-02	20:30
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-04-02	20:34
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-04-02	20:43
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-04-02	20:56
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-04-03	20:12
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-04-03	20:16
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-04-03	20:26
Kaki King	Cargo Cult	Glow	Fingerstyle / Acoustic	3:48	2024-04-04	20:26
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-04-04	20:42
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-04-04	20:52
Miles Davis	So What	Kind of Blue	Jazz	9:22	2024-04-04	20:57
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-04-05	20:23
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-04-05	20:39
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-04-05	20:55
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-04-05	20:58
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-04-06	20:04
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-04-06	20:19
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-04-06	20:26
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-04-06	20:34
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-04-06	20:44
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-04-06	20:49
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-04-06	20:58
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-04-06	21:07
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-04-07	20:00
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-04-07	20:05
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-04-08	20:27
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-04-08	20:30
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-04-09	20:05
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-04-09	20:15
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-04-09	20:29
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-04-10	20:25
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-04-10	20:36
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-04-10	20:40
Miles Davis	Freddie Freeloader	Kind of Blue	Jazz	9:46	2024-04-10	20:52
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-04-10	21:08
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-04-10	21:18
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-04-11	20:18
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-04-11	20:25
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-04-11	20:29
Tommy Emmanuel	Mombasa	Endless Road	Fingerstyle / Acoustic	4:44	2024-04-11	20:41
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-04-11	20:51
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-04-11	21:07
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-04-11	21:21
Kaki King	Cargo Cult	Glow	Fingerstyle / Acoustic	3:48	2024-04-12	20:15
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-04-12	20:27
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-04-12	20:43
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-04-12	20:54
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-04-13	20:27
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-04-13	20:36
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-04-13	20:44
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-04-13	20:47
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-04-14	20:26
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-04-14	20:42
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-04-14	20:58
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-04-15	20:19
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-04-15	20:28
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-04-15	20:41
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-04-15	20:56
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-04-15	21:05
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-04-16	20:24
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-04-16	20:31
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-04-17	20:13
Tommy Emmanuel	The Whopper	Live One	Fingerstyle / Acoustic	5:11	2024-04-17	20:24
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-04-17	20:31
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-04-17	20:44
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-04-17	20:48
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-04-17	20:58
Iron and Wine	Naked as We Came	Woman King	Indie Folk	2:40	2024-04-18	20:15
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-04-18	20:18
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-04-18	20:22
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-04-18	20:25
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-04-18	20:30
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-04-19	20:01
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-04-19	20:14
John Coltrane	A Love Supreme Part I - Acknowledgement	A Love Supreme	Jazz	7:44	2024-04-19	20:28
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-04-19	20:32
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-04-20	20:28
John Coltrane	Giant Steps	Giant Steps	Jazz	4:43	2024-04-20	20:31
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-04-20	20:38
Kaki King	You Are the Blood	Junior	Fingerstyle / Acoustic	4:31	2024-04-21	20:04
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-04-21	20:08
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-04-21	20:21
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-04-22	20:00
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-04-22	20:07
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-04-22	20:14
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-04-22	20:27
Iron and Wine	Flightless Bird American Mouth	The Shepherd's Dog	Indie Folk	2:58	2024-04-22	20:35
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-04-22	20:41
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-04-23	20:10
Miles Davis	Blue in Green	Kind of Blue	Jazz	5:37	2024-04-23	20:14
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-04-23	20:19
John Coltrane	My Favorite Things	My Favorite Things	Jazz	13:41	2024-04-24	20:06
Iron and Wine	Resurrection Fern	The Shepherd's Dog	Indie Folk	4:08	2024-04-24	20:16
Andy McKee	Drifting	Art of Motion	Fingerstyle / Acoustic	5:02	2024-04-24	20:19
Tommy Emmanuel	Mombasa	Endless Road	Fingerstyle / Acoustic	4:44	2024-04-24	20:22
Iron and Wine	Cinder and Smoke	The Shepherd's Dog	Indie Folk	4:52	2024-04-24	20:35
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-04-24	20:45
Fleet Foxes	Montezuma	Helplessness Blues	Indie Folk	4:19	2024-04-25	20:28
John Coltrane	Naima	Giant Steps	Jazz	4:23	2024-04-25	20:35
Tommy Emmanuel	Somewhere Over the Rainbow	Endless Road	Fingerstyle / Acoustic	4:18	2024-04-25	20:47
Johann Sebastian Bach	Air on the G String (Academy of St Martin)	Orchestral Suites	Classical	5:38	2024-04-25	21:02
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-04-25	21:07
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-04-25	21:18
Fleet Foxes	Helplessness Blues	Helplessness Blues	Indie Folk	5:03	2024-04-25	21:23
Miles Davis	All Blues	Kind of Blue	Jazz	11:33	2024-04-26	20:11
Johann Sebastian Bach	Goldberg Variations - Aria (Glenn Gould 1981)	Goldberg Variations	Classical	2:57	2024-04-26	20:21
Kaki King	Playing with Pink Noise	Junior	Fingerstyle / Acoustic	3:14	2024-04-26	20:30
Tommy Emmanuel	Mombasa	Endless Road	Fingerstyle / Acoustic	4:44	2024-04-26	20:36
Iron and Wine	Passing Afternoon	Our Endless Numbered Days	Indie Folk	3:44	2024-04-27	20:14
Miles Davis	Flamenco Sketches	Kind of Blue	Jazz	9:26	2024-04-27	20:25
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-04-27	20:30
Fleet Foxes	Blue Ridge Mountains	Fleet Foxes	Indie Folk	3:55	2024-04-27	20:33
Fleet Foxes	Mykonos	Sun Giant EP	Indie Folk	4:00	2024-04-27	20:38
Andy McKee	Rylynn	Art of Motion	Fingerstyle / Acoustic	4:45	2024-04-27	20:53
Johann Sebastian Bach	BWV 1004 Chaconne (Hilary Hahn)	Partitas for Solo Violin	Classical	14:12	2024-04-27	21:07
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-04-27	21:19
Johann Sebastian Bach	Prelude in C Major BWV 846 (Angela Hewitt)	Well-Tempered Clavier Book I	Classical	2:14	2024-04-28	20:16
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-04-28	20:24
Tommy Emmanuel	Angelina	It's Never Too Late	Fingerstyle / Acoustic	3:42	2024-04-28	20:30
Johann Sebastian Bach	Cello Suite No. 1 - Prelude (Yo-Yo Ma)	Six Unaccompanied Cello Suites	Classical	2:23	2024-04-28	20:42
Fleet Foxes	White Winter Hymnal	Fleet Foxes	Indie Folk	2:27	2024-04-29	20:16
Andy McKee	Tight Trite Night	Joyland	Fingerstyle / Acoustic	4:20	2024-04-29	20:25
John Coltrane	Equinox	Coltrane's Sound	Jazz	7:54	2024-04-29	20:32
Tommy Emmanuel	Classical Gas	Fingerpicking Good	Fingerstyle / Acoustic	3:28	2024-04-29	20:48
