tracking_number,status_type,status_code,status_description,service_name,ship_date,scheduled_delivery,latest_activity,latest_activity_location,latest_activity_time
1Z999AA10123456962,I,005,In Transit,UPS 2nd Day Air,2032-10-21,2032-10-24,Departed from Facility,"Dallas, TX, US",2032-10-24T07:00:00Z
1Z999AA10123456963,I,005,In Transit,UPS 3 Day Select,2032-11-04,2032-11-06,Departed from Facility,"Dallas, TX, US",2032-11-06T14:00:00Z
1Z999AA10123456964,I,005,In Transit,UPS 3 Day Select,2032-11-18,2032-11-20,Departed from Facility,"Dallas, TX, US",2032-11-20T09:00:00Z
1Z999AA10123456965,I,005,In Transit,UPS 3 Day Select,2032-12-01,2032-12-06,Departed from Facility,"Dallas, TX, US",2032-12-06T13:00:00Z
1Z999AA10123456966,I,005,In Transit,UPS Ground,2032-12-17,2032-12-20,Departed from Facility,"Dallas, TX, US",2032-12-20T10:00:00Z
1Z999AA10123456967,I,005,In Transit,UPS Ground,2033-01-01,2033-01-06,Departed from Facility,"Dallas, TX, US",2033-01-06T06:00:00Z
1Z999AA10123456968,I,005,In Transit,UPS 3 Day Select,2033-01-16,2033-01-18,Departed from Facility,"Dallas, TX, US",2033-01-18T15:00:00Z
1Z999AA10123456969,I,005,In Transit,UPS Ground,2033-01-30,2033-02-04,Departed from Facility,"Dallas, TX, US",2033-02-04T07:00:00Z
1Z999AA10123456970,I,005,In Transit,UPS 3 Day Select,2033-02-11,2033-02-15,Departed from Facility,"Dallas, TX, US",2033-02-15T16:00:00Z
1Z999AA10123456971,I,005,In Transit,UPS Ground,2033-02-25,2033-03-02,Departed from Facility,"Dallas, TX, US",2033-03-02T17:00:00Z
1Z999AA10123456972,I,005,In Transit,UPS 2nd Day Air,2033-03-13,2033-03-17,Departed from Facility,"Dallas, TX, US",2033-03-17T08:00:00Z
1Z999AA10123456973,I,005,In Transit,UPS Ground,2033-03-27,2033-03-30,Departed from Facility,"Dallas, TX, US",2033-03-30T15:00:00Z
1Z999AA10123456974,I,005,In Transit,UPS Ground,2033-04-08,2033-04-10,Departed from Facility,"Dallas, TX, US",2033-04-10T13:00:00Z
1Z999AA10123456975,I,005,In Transit,UPS Ground,2033-04-24,2033-04-29,Departed from Facility,"Dallas, TX, US",2033-04-29T13:00:00Z
1Z999AA10123456976,I,005,In Transit,UPS 3 Day Select,2033-05-06,2033-05-11,Departed from Facility,"Dallas, TX, US",2033-05-11T16:00:00Z
1Z999AA10123456977,I,005,In Transit,UPS Ground,2033-05-20,2033-05-25,Departed from Facility,"Dallas, TX, US",2033-05-25T15:00:00Z
1Z999AA10123456978,I,005,In Transit,UPS 2nd Day Air,2033-06-01,2033-06-05,Departed from Facility,"Dallas, TX, US",2033-06-05T09:00:00Z
1Z999AA10123456979,I,005,In Transit,UPS 3 Day Select,2033-06-16,2033-06-21,Departed from Facility,"Dallas, TX, US",2033-06-21T09:00:00Z
1Z999AA10123456980,I,005,In Transit,UPS Ground,2033-06-29,2033-07-04,Departed from Facility,"Dallas, TX, US",2033-07-04T16:00:00Z
1Z999AA10123456981,I,005,In Transit,UPS 2nd Day Air,2033-07-15,2033-07-18,Departed from Facility,"Dallas, TX, US",2033-07-18T08:00:00Z
1Z999AA10123456982,I,005,In Transit,UPS 2nd Day Air,2033-07-29,2033-08-03,Departed from Facility,"Dallas, TX, US",2033-08-03T06:00:00Z
1Z999AA10123456983,I,005,In Transit,UPS 3 Day Select,2033-08-13,2033-08-16,Departed from Facility,"Dallas, TX, US",2033-08-16T06:00:00Z
1Z999AA10123456984,I,005,In Transit,UPS Ground,2033-08-25,2033-08-30,Departed from Facility,"Dallas, TX, US",2033-08-30T18:00:00Z
1Z999AA10123456985,I,005,In Transit,UPS Ground,2033-09-06,2033-09-10,Departed from Facility,"Dallas, TX, US",2033-09-10T09:00:00Z
1Z999AA10123456986,I,005,In Transit,UPS 2nd Day Air,2033-09-22,2033-09-27,Departed from Facility,"Dallas, TX, US",2033-09-27T06:00:00Z
1Z999AA10123456987,I,005,In Transit,UPS Ground,2033-10-05,2033-10-10,Departed from Facility,"Dallas, TX, US",2033-10-10T15:00:00Z
1Z999AA10123456988,I,005,In Transit,UPS 3 Day Select,2033-10-20,2033-10-23,Departed from Facility,"Dallas, TX, US",2033-10-23T15:00:00Z
1Z999AA10123456989,I,005,In Transit,UPS Ground,2033-11-05,2033-11-10,Departed from Facility,"Dallas, TX, US",2033-11-10T10:00:00Z
