id,contact_id,state,title,created_at,updated_at,assignee_id,open
conv-532,ic-332,open,Chat 332,2026-11-01,2026-11-10,ic-agent2,False
conv-533,ic-333,closed,Chat 333,2026-11-01,2026-11-10,ic-greg,False
conv-534,ic-334,snoozed,Chat 334,2026-11-01,2026-11-10,ic-greg,False
conv-535,ic-335,snoozed,Chat 335,2026-11-01,2026-11-10,ic-greg,True
conv-536,ic-336,snoozed,Chat 336,2026-11-01,2026-11-10,ic-greg,True
conv-537,ic-337,snoozed,Chat 337,2026-11-01,2026-11-10,ic-greg,False
conv-538,ic-338,open,Chat 338,2026-11-01,2026-11-10,ic-greg,True
conv-539,ic-339,open,Chat 339,2026-11-01,2026-11-10,ic-greg,False
conv-540,ic-340,snoozed,Chat 340,2026-11-01,2026-11-10,ic-agent2,True
conv-541,ic-341,open,Chat 341,2026-11-01,2026-11-10,ic-agent2,True
conv-542,ic-342,closed,Chat 342,2026-11-01,2026-11-10,ic-greg,True
conv-543,ic-343,closed,Chat 343,2026-11-01,2026-11-10,ic-greg,True
conv-544,ic-344,open,Chat 344,2026-11-01,2026-11-10,ic-greg,True
conv-545,ic-345,closed,Chat 345,2026-11-01,2026-11-10,ic-greg,False
conv-546,ic-346,open,Chat 346,2026-11-01,2026-11-10,ic-greg,True
conv-547,ic-347,closed,Chat 347,2026-11-01,2026-11-10,ic-greg,False
conv-548,ic-348,open,Chat 348,2026-11-01,2026-11-10,ic-greg,False
conv-549,ic-349,open,Chat 349,2026-11-01,2026-11-10,ic-greg,True
conv-550,ic-350,open,Chat 350,2026-11-01,2026-11-10,ic-greg,True
conv-551,ic-351,snoozed,Chat 351,2026-11-01,2026-11-10,ic-greg,True
conv-552,ic-352,open,Chat 352,2026-11-01,2026-11-10,ic-greg,True
conv-553,ic-353,closed,Chat 353,2026-11-01,2026-11-10,ic-greg,False
conv-554,ic-354,snoozed,Chat 354,2026-11-01,2026-11-10,ic-agent2,True
conv-555,ic-355,open,Chat 355,2026-11-01,2026-11-10,ic-agent2,False
conv-556,ic-356,open,Chat 356,2026-11-01,2026-11-10,ic-greg,False
conv-557,ic-357,closed,Chat 357,2026-11-01,2026-11-10,ic-agent2,True
conv-558,ic-358,open,Chat 358,2026-11-01,2026-11-10,ic-agent2,True
conv-559,ic-359,closed,Chat 359,2026-11-01,2026-11-10,ic-agent2,False
conv-560,ic-360,snoozed,Chat 360,2026-11-01,2026-11-10,ic-agent2,True
conv-561,ic-361,closed,Chat 361,2026-11-01,2026-11-10,ic-agent2,True
conv-562,ic-362,open,Chat 362,2026-11-01,2026-11-10,ic-greg,False
conv-563,ic-363,closed,Chat 363,2026-11-01,2026-11-10,ic-agent2,False
conv-564,ic-364,open,Chat 364,2026-11-01,2026-11-10,ic-agent2,False
conv-565,ic-365,open,Chat 365,2026-11-01,2026-11-10,ic-greg,True
conv-566,ic-366,closed,Chat 366,2026-11-01,2026-11-10,ic-agent2,True
conv-567,ic-367,snoozed,Chat 367,2026-11-01,2026-11-10,ic-greg,True
conv-568,ic-368,open,Chat 368,2026-11-01,2026-11-10,ic-agent2,True
conv-569,ic-369,snoozed,Chat 369,2026-11-01,2026-11-10,ic-agent2,True
conv-570,ic-370,open,Chat 370,2026-11-01,2026-11-10,ic-agent2,True
conv-571,ic-371,closed,Chat 371,2026-11-01,2026-11-10,ic-greg,True
conv-572,ic-372,snoozed,Chat 372,2026-11-01,2026-11-10,ic-greg,True
conv-573,ic-373,closed,Chat 373,2026-11-01,2026-11-10,ic-greg,True
conv-574,ic-374,snoozed,Chat 374,2026-11-01,2026-11-10,ic-greg,False
conv-575,ic-375,open,Chat 375,2026-11-01,2026-11-10,ic-greg,False
conv-576,ic-376,open,Chat 376,2026-11-01,2026-11-10,ic-greg,True
conv-577,ic-377,closed,Chat 377,2026-11-01,2026-11-10,ic-agent2,False
conv-578,ic-378,snoozed,Chat 378,2026-11-01,2026-11-10,ic-agent2,False
conv-579,ic-379,open,Chat 379,2026-11-01,2026-11-10,ic-agent2,True
conv-580,ic-380,closed,Chat 380,2026-11-01,2026-11-10,ic-greg,False
conv-581,ic-381,closed,Chat 381,2026-11-01,2026-11-10,ic-agent2,False
conv-582,ic-382,open,Chat 382,2026-11-01,2026-11-10,ic-agent2,True
conv-583,ic-383,closed,Chat 383,2026-11-01,2026-11-10,ic-greg,True
conv-584,ic-384,open,Chat 384,2026-11-01,2026-11-10,ic-greg,True
conv-585,ic-385,open,Chat 385,2026-11-01,2026-11-10,ic-agent2,True
conv-586,ic-386,closed,Chat 386,2026-11-01,2026-11-10,ic-agent2,False
conv-587,ic-387,closed,Chat 387,2026-11-01,2026-11-10,ic-greg,False
conv-588,ic-388,snoozed,Chat 388,2026-11-01,2026-11-10,ic-greg,True
conv-589,ic-389,open,Chat 389,2026-11-01,2026-11-10,ic-agent2,True
conv-590,ic-390,closed,Chat 390,2026-11-01,2026-11-10,ic-agent2,True
conv-591,ic-391,snoozed,Chat 391,2026-11-01,2026-11-10,ic-greg,False
conv-592,ic-392,closed,Chat 392,2026-11-01,2026-11-10,ic-agent2,True
conv-593,ic-393,open,Chat 393,2026-11-01,2026-11-10,ic-agent2,False
conv-594,ic-394,closed,Chat 394,2026-11-01,2026-11-10,ic-agent2,True
conv-595,ic-395,closed,Chat 395,2026-11-01,2026-11-10,ic-agent2,False
conv-596,ic-396,snoozed,Chat 396,2026-11-01,2026-11-10,ic-agent2,False
conv-597,ic-397,snoozed,Chat 397,2026-11-01,2026-11-10,ic-greg,True
conv-598,ic-398,open,Chat 398,2026-11-01,2026-11-10,ic-agent2,False
conv-599,ic-399,snoozed,Chat 399,2026-11-01,2026-11-10,ic-greg,True
conv-600,ic-400,closed,Chat 400,2026-11-01,2026-11-10,ic-agent2,True
conv-601,ic-401,open,Chat 401,2026-11-01,2026-11-10,ic-agent2,False
conv-602,ic-402,snoozed,Chat 402,2026-11-01,2026-11-10,ic-greg,True
conv-603,ic-403,open,Chat 403,2026-11-01,2026-11-10,ic-agent2,True
conv-604,ic-404,closed,Chat 404,2026-11-01,2026-11-10,ic-greg,False
conv-605,ic-405,snoozed,Chat 405,2026-11-01,2026-11-10,ic-greg,True
conv-606,ic-406,open,Chat 406,2026-11-01,2026-11-10,ic-greg,True
conv-607,ic-407,open,Chat 407,2026-11-01,2026-11-10,ic-agent2,True
conv-608,ic-408,snoozed,Chat 408,2026-11-01,2026-11-10,ic-greg,True
conv-609,ic-409,closed,Chat 409,2026-11-01,2026-11-10,ic-agent2,True
conv-610,ic-410,snoozed,Chat 410,2026-11-01,2026-11-10,ic-agent2,False
conv-611,ic-411,closed,Chat 411,2026-11-01,2026-11-10,ic-greg,True
conv-612,ic-412,open,Chat 412,2026-11-01,2026-11-10,ic-greg,False
conv-613,ic-413,closed,Chat 413,2026-11-01,2026-11-10,ic-greg,False
conv-614,ic-414,closed,Chat 414,2026-11-01,2026-11-10,ic-agent2,True
conv-615,ic-415,closed,Chat 415,2026-11-01,2026-11-10,ic-agent2,True
conv-616,ic-416,snoozed,Chat 416,2026-11-01,2026-11-10,ic-agent2,True
conv-617,ic-417,snoozed,Chat 417,2026-11-01,2026-11-10,ic-greg,True
conv-618,ic-418,snoozed,Chat 418,2026-11-01,2026-11-10,ic-greg,False
conv-619,ic-419,open,Chat 419,2026-11-01,2026-11-10,ic-greg,True
conv-620,ic-420,snoozed,Chat 420,2026-11-01,2026-11-10,ic-agent2,True
conv-621,ic-421,closed,Chat 421,2026-11-01,2026-11-10,ic-agent2,False
conv-622,ic-422,open,Chat 422,2026-11-01,2026-11-10,ic-agent2,False
conv-623,ic-423,open,Chat 423,2026-11-01,2026-11-10,ic-greg,False
conv-624,ic-424,closed,Chat 424,2026-11-01,2026-11-10,ic-greg,True
conv-625,ic-425,closed,Chat 425,2026-11-01,2026-11-10,ic-greg,False
conv-626,ic-426,snoozed,Chat 426,2026-11-01,2026-11-10,ic-greg,False
conv-627,ic-427,open,Chat 427,2026-11-01,2026-11-10,ic-agent2,False
conv-628,ic-428,snoozed,Chat 428,2026-11-01,2026-11-10,ic-greg,False
conv-629,ic-429,snoozed,Chat 429,2026-11-01,2026-11-10,ic-greg,False
conv-630,ic-430,closed,Chat 430,2026-11-01,2026-11-10,ic-agent2,False
conv-631,ic-431,open,Chat 431,2026-11-01,2026-11-10,ic-agent2,False
conv-632,ic-432,closed,Chat 432,2026-11-01,2026-11-10,ic-greg,True
conv-633,ic-433,closed,Chat 433,2026-11-01,2026-11-10,ic-agent2,True
conv-634,ic-434,closed,Chat 434,2026-11-01,2026-11-10,ic-greg,False
conv-635,ic-435,open,Chat 435,2026-11-01,2026-11-10,ic-agent2,True
conv-636,ic-436,closed,Chat 436,2026-11-01,2026-11-10,ic-agent2,True
conv-637,ic-437,open,Chat 437,2026-11-01,2026-11-10,ic-agent2,True
conv-638,ic-438,open,Chat 438,2026-11-01,2026-11-10,ic-greg,True
conv-639,ic-439,open,Chat 439,2026-11-01,2026-11-10,ic-greg,True
conv-640,ic-440,snoozed,Chat 440,2026-11-01,2026-11-10,ic-agent2,True
conv-641,ic-441,closed,Chat 441,2026-11-01,2026-11-10,ic-agent2,False
conv-642,ic-442,open,Chat 442,2026-11-01,2026-11-10,ic-agent2,True
conv-643,ic-443,snoozed,Chat 443,2026-11-01,2026-11-10,ic-agent2,False
conv-644,ic-444,snoozed,Chat 444,2026-11-01,2026-11-10,ic-greg,True
conv-645,ic-445,open,Chat 445,2026-11-01,2026-11-10,ic-greg,True
conv-646,ic-446,snoozed,Chat 446,2026-11-01,2026-11-10,ic-agent2,False
conv-647,ic-447,snoozed,Chat 447,2026-11-01,2026-11-10,ic-greg,True
conv-648,ic-448,snoozed,Chat 448,2026-11-01,2026-11-10,ic-greg,False
conv-649,ic-449,snoozed,Chat 449,2026-11-01,2026-11-10,ic-greg,False
conv-650,ic-300,snoozed,Chat 450,2026-11-01,2026-11-10,ic-greg,False
conv-651,ic-301,open,Chat 451,2026-11-01,2026-11-10,ic-agent2,True
conv-652,ic-302,open,Chat 452,2026-11-01,2026-11-10,ic-greg,True
conv-653,ic-303,closed,Chat 453,2026-11-01,2026-11-10,ic-agent2,True
conv-654,ic-304,snoozed,Chat 454,2026-11-01,2026-11-10,ic-greg,True
conv-655,ic-305,snoozed,Chat 455,2026-11-01,2026-11-10,ic-agent2,False
conv-656,ic-306,snoozed,Chat 456,2026-11-01,2026-11-10,ic-agent2,True
conv-657,ic-307,closed,Chat 457,2026-11-01,2026-11-10,ic-agent2,True
conv-658,ic-308,open,Chat 458,2026-11-01,2026-11-10,ic-greg,False
conv-659,ic-309,snoozed,Chat 459,2026-11-01,2026-11-10,ic-greg,False
conv-660,ic-310,open,Chat 460,2026-11-01,2026-11-10,ic-agent2,True
conv-661,ic-311,closed,Chat 461,2026-11-01,2026-11-10,ic-greg,True
conv-662,ic-312,snoozed,Chat 462,2026-11-01,2026-11-10,ic-agent2,True
conv-663,ic-313,open,Chat 463,2026-11-01,2026-11-10,ic-greg,True
conv-664,ic-314,closed,Chat 464,2026-11-01,2026-11-10,ic-greg,True
conv-665,ic-315,snoozed,Chat 465,2026-11-01,2026-11-10,ic-agent2,False
conv-666,ic-316,closed,Chat 466,2026-11-01,2026-11-10,ic-greg,True
conv-667,ic-317,snoozed,Chat 467,2026-11-01,2026-11-10,ic-agent2,False
conv-668,ic-318,open,Chat 468,2026-11-01,2026-11-10,ic-greg,True
conv-669,ic-319,closed,Chat 469,2026-11-01,2026-11-10,ic-greg,False
conv-670,ic-320,snoozed,Chat 470,2026-11-01,2026-11-10,ic-agent2,False
conv-671,ic-321,snoozed,Chat 471,2026-11-01,2026-11-10,ic-agent2,False
conv-672,ic-322,open,Chat 472,2026-11-01,2026-11-10,ic-greg,True
conv-673,ic-323,snoozed,Chat 473,2026-11-01,2026-11-10,ic-agent2,True
conv-674,ic-324,snoozed,Chat 474,2026-11-01,2026-11-10,ic-greg,True
conv-675,ic-325,closed,Chat 475,2026-11-01,2026-11-10,ic-greg,True
conv-676,ic-326,open,Chat 476,2026-11-01,2026-11-10,ic-agent2,True
conv-677,ic-327,snoozed,Chat 477,2026-11-01,2026-11-10,ic-agent2,False
conv-678,ic-328,closed,Chat 478,2026-11-01,2026-11-10,ic-greg,False
conv-679,ic-329,snoozed,Chat 479,2026-11-01,2026-11-10,ic-agent2,False
conv-680,ic-330,snoozed,Chat 480,2026-11-01,2026-11-10,ic-agent2,True
conv-681,ic-331,open,Chat 481,2026-11-01,2026-11-10,ic-greg,False
conv-682,ic-332,open,Chat 482,2026-11-01,2026-11-10,ic-greg,True
conv-683,ic-333,open,Chat 483,2026-11-01,2026-11-10,ic-agent2,False
conv-684,ic-334,snoozed,Chat 484,2026-11-01,2026-11-10,ic-greg,False
conv-685,ic-335,closed,Chat 485,2026-11-01,2026-11-10,ic-agent2,False
conv-686,ic-336,closed,Chat 486,2026-11-01,2026-11-10,ic-greg,False
conv-687,ic-337,open,Chat 487,2026-11-01,2026-11-10,ic-agent2,True
conv-688,ic-338,closed,Chat 488,2026-11-01,2026-11-10,ic-greg,True
conv-689,ic-339,snoozed,Chat 489,2026-11-01,2026-11-10,ic-agent2,False
conv-690,ic-340,closed,Chat 490,2026-11-01,2026-11-10,ic-agent2,True
conv-691,ic-341,closed,Chat 491,2026-11-01,2026-11-10,ic-agent2,True
conv-692,ic-342,closed,Chat 492,2026-11-01,2026-11-10,ic-agent2,True
conv-693,ic-343,open,Chat 493,2026-11-01,2026-11-10,ic-greg,False
conv-694,ic-344,closed,Chat 494,2026-11-01,2026-11-10,ic-greg,False
conv-695,ic-345,closed,Chat 495,2026-11-01,2026-11-10,ic-greg,True
conv-696,ic-346,snoozed,Chat 496,2026-11-01,2026-11-10,ic-agent2,False
conv-697,ic-347,snoozed,Chat 497,2026-11-01,2026-11-10,ic-greg,False
conv-698,ic-348,closed,Chat 498,2026-11-01,2026-11-10,ic-greg,True
